volume,ticks,status,open,low,high,cost,close,timestamp,Instrument
0.0,1616544000.0,ok,0.1105,0.1105,0.1105,0.0,0.1105,2021-03-23 19:00:00,BTC-25JUN21-44000-C
0.0,1616630400.0,ok,0.1105,0.1105,0.1105,0.0,0.1105,2021-03-24 19:00:00,BTC-25JUN21-44000-C
0.2,1616716800.0,ok,0.73,0.73,0.73,0.146,0.73,2021-03-25 19:00:00,BTC-25JUN21-44000-C
0.0,1616803200.0,ok,0.73,0.73,0.73,0.0,0.73,2021-03-26 19:00:00,BTC-25JUN21-44000-C
0.0,1616889600.0,ok,0.73,0.73,0.73,0.0,0.73,2021-03-27 19:00:00,BTC-25JUN21-44000-C
0.0,1616976000.0,ok,0.73,0.73,0.73,0.0,0.73,2021-03-28 19:00:00,BTC-25JUN21-44000-C
0.2,1617062400.0,ok,0.354,0.354,0.355,0.0709,0.355,2021-03-29 19:00:00,BTC-25JUN21-44000-C
0.0,1617148800.0,ok,0.355,0.355,0.355,0.0,0.355,2021-03-30 19:00:00,BTC-25JUN21-44000-C
2.4,1617235200.0,ok,0.365,0.365,0.3795,0.8935,0.3795,2021-03-31 19:00:00,BTC-25JUN21-44000-C
0.0,1617321600.0,ok,0.3795,0.3795,0.3795,0.0,0.3795,2021-04-01 19:00:00,BTC-25JUN21-44000-C
0.0,1617408000.0,ok,0.3795,0.3795,0.3795,0.0,0.3795,2021-04-02 19:00:00,BTC-25JUN21-44000-C
0.1,1617494400.0,ok,0.3615,0.3615,0.3615,0.03615,0.3615,2021-04-03 19:00:00,BTC-25JUN21-44000-C
0.0,1617580800.0,ok,0.3615,0.3615,0.3615,0.0,0.3615,2021-04-04 19:00:00,BTC-25JUN21-44000-C
2.8,1617667200.0,ok,0.3865,0.356,0.3865,1.0416,0.3575,2021-04-05 19:00:00,BTC-25JUN21-44000-C
0.9,1617753600.0,ok,0.36,0.341,0.3605,0.31645,0.341,2021-04-06 19:00:00,BTC-25JUN21-44000-C
0.0,1617840000.0,ok,0.341,0.341,0.341,0.0,0.341,2021-04-07 19:00:00,BTC-25JUN21-44000-C
0.0,1617926400.0,ok,0.341,0.341,0.341,0.0,0.341,2021-04-08 19:00:00,BTC-25JUN21-44000-C
0.0,1618012800.0,ok,0.341,0.341,0.341,0.0,0.341,2021-04-09 19:00:00,BTC-25JUN21-44000-C
0.0,1618099200.0,ok,0.341,0.341,0.341,0.0,0.341,2021-04-10 19:00:00,BTC-25JUN21-44000-C
0.0,1618185600.0,ok,0.341,0.341,0.341,0.0,0.341,2021-04-11 19:00:00,BTC-25JUN21-44000-C
0.0,1618272000.0,ok,0.341,0.341,0.341,0.0,0.341,2021-04-12 19:00:00,BTC-25JUN21-44000-C
0.0,1618358400.0,ok,0.341,0.341,0.341,0.0,0.341,2021-04-13 19:00:00,BTC-25JUN21-44000-C
0.0,1618444800.0,ok,0.341,0.341,0.341,0.0,0.341,2021-04-14 19:00:00,BTC-25JUN21-44000-C
0.0,1618531200.0,ok,0.341,0.341,0.341,0.0,0.341,2021-04-15 19:00:00,BTC-25JUN21-44000-C
0.0,1618617600.0,ok,0.341,0.341,0.341,0.0,0.341,2021-04-16 19:00:00,BTC-25JUN21-44000-C
0.0,1618704000.0,ok,0.341,0.341,0.341,0.0,0.341,2021-04-17 19:00:00,BTC-25JUN21-44000-C
0.0,1618790400.0,ok,0.341,0.341,0.341,0.0,0.341,2021-04-18 19:00:00,BTC-25JUN21-44000-C
0.0,1618876800.0,ok,0.341,0.341,0.341,0.0,0.341,2021-04-19 19:00:00,BTC-25JUN21-44000-C
0.0,1618963200.0,ok,0.341,0.341,0.341,0.0,0.341,2021-04-20 19:00:00,BTC-25JUN21-44000-C
0.0,1619049600.0,ok,0.341,0.341,0.341,0.0,0.341,2021-04-21 19:00:00,BTC-25JUN21-44000-C
0.0,1619136000.0,ok,0.341,0.341,0.341,0.0,0.341,2021-04-22 19:00:00,BTC-25JUN21-44000-C
0.0,1619222400.0,ok,0.341,0.341,0.341,0.0,0.341,2021-04-23 19:00:00,BTC-25JUN21-44000-C
0.0,1619308800.0,ok,0.341,0.341,0.341,0.0,0.341,2021-04-24 19:00:00,BTC-25JUN21-44000-C
0.0,1619395200.0,ok,0.341,0.341,0.341,0.0,0.341,2021-04-25 19:00:00,BTC-25JUN21-44000-C
0.0,1619481600.0,ok,0.341,0.341,0.341,0.0,0.341,2021-04-26 19:00:00,BTC-25JUN21-44000-C
0.0,1619568000.0,ok,0.341,0.341,0.341,0.0,0.341,2021-04-27 19:00:00,BTC-25JUN21-44000-C
0.0,1619654400.0,ok,0.341,0.341,0.341,0.0,0.341,2021-04-28 19:00:00,BTC-25JUN21-44000-C
0.0,1619740800.0,ok,0.341,0.341,0.341,0.0,0.341,2021-04-29 19:00:00,BTC-25JUN21-44000-C
0.0,1619827200.0,ok,0.341,0.341,0.341,0.0,0.341,2021-04-30 19:00:00,BTC-25JUN21-44000-C
0.0,1619913600.0,ok,0.341,0.341,0.341,0.0,0.341,2021-05-01 19:00:00,BTC-25JUN21-44000-C
0.0,1620000000.0,ok,0.341,0.341,0.341,0.0,0.341,2021-05-02 19:00:00,BTC-25JUN21-44000-C
0.0,1620086400.0,ok,0.341,0.341,0.341,0.0,0.341,2021-05-03 19:00:00,BTC-25JUN21-44000-C
0.0,1620172800.0,ok,0.341,0.341,0.341,0.0,0.341,2021-05-04 19:00:00,BTC-25JUN21-44000-C
0.0,1620259200.0,ok,0.341,0.341,0.341,0.0,0.341,2021-05-05 19:00:00,BTC-25JUN21-44000-C
112.5,1620345600.0,ok,0.4705,0.087,0.4705,48.1375,0.087,2021-05-06 19:00:00,BTC-25JUN21-44000-C
0.0,1620432000.0,ok,0.087,0.087,0.087,0.0,0.087,2021-05-07 19:00:00,BTC-25JUN21-44000-C
0.0,1620518400.0,ok,0.087,0.087,0.087,0.0,0.087,2021-05-08 19:00:00,BTC-25JUN21-44000-C
0.0,1620604800.0,ok,0.087,0.087,0.087,0.0,0.087,2021-05-09 19:00:00,BTC-25JUN21-44000-C
0.0,1620691200.0,ok,0.087,0.087,0.087,0.0,0.087,2021-05-10 19:00:00,BTC-25JUN21-44000-C
